root_id,nucleus_id,volume,clf_type,cell_type,mtype,axon_length,dendrite_length,max_dend_y_path_dist_to_soma,max_dend_y_euclid_dist_to_soma,ds_num_of_incoming_synapses,ds_num_of_outgoing_synapses,ds_incoming_syn_mean_weight,ds_outgoing_syn_mean_weight,ds_incoming_syn_sum_weight,ds_outgoing_syn_sum_weight,ds_incoming_syn_std_weight,ds_outgoing_syn_std_weight,num_of_incoming_synapses,num_of_outgoing_synapses,num_of_incoming_neurons,num_of_outgoing_neurons,num_of_ex_incoming_synapses,num_of_ex_outgoing_synapses,num_of_inh_incoming_synapses,num_of_inh_outgoing_synapses,num_of_ex_incoming_neurons,num_of_inh_incoming_neurons,incoming_syn_mean_weight,incoming_syn_sum_weight,incoming_syn_std_weight,outgoing_syn_mean_weight,outgoing_syn_sum_weight,outgoing_syn_std_weight,ex_incoming_syn_mean_weight,ex_incoming_syn_sum_weight,ex_incoming_syn_std_weight,ex_outgoing_syn_mean_weight,ex_outgoing_syn_sum_weight,ex_outgoing_syn_std_weight,inh_incoming_syn_mean_weight,inh_incoming_syn_sum_weight,inh_incoming_syn_std_weight,inh_outgoing_syn_mean_weight,inh_outgoing_syn_sum_weight,inh_outgoing_syn_std_weight,pt_position_x,pt_position_y,pt_position_z,pt_position_xt,pt_position_yt,pt_position_zt,ei_incoming_ratio_norm,ei_incoming_ratio,ei_incoming_sum_of_weights_ratio_norm,ei_incoming_sum_of_weights_ratio,er_incoming_partners_ratio_norm,incoming_synapses_in_vol_prop,ds_incoming_synapses_density,incoming_synapses_per_contact,ds_outgoing_synapses_density,incoming_contacts_density,ex_incoming_contacts_density,inh_incoming_contacts_density,incoming_synapses_density,ex_incoming_synapses_density,inh_incoming_synapses_density,incoming_multiple_contacts_ratio,ex_incoming_multiple_contacts_ratio,inh_incoming_multiple_contacts_ratio
864691134886335738,260727,221.32228096,E,23P,L4b,2154.900146484375,1831.114013671875,245.7681986093521,224.194973450589,1013,269,7139.8223,5660.2676,7232640.0,1522612.0,6759.462,4355.075,44,62,26,39,11,16,33,46,8,18,4620.273,203292.0,4691.947,5442.1934,337416.0,3488.8647,7922.909,87152.0,7864.459,7429.0,118864.0,4745.36279296875,3519.39404296875,116140.0,1971.8468017578125,4751.13037109375,218552.0,2592.853759765625,176288,143856,22394,652.3171776339622,238.02135205445677,895.7600000000002,0.25,0.3333333333333333,0.4287035397359463,0.7504046840020665,0.3076923076923077,0.04343534057255676,0.5532151424960497,1.6923076923076923,0.12483177025110036,0.014199006618852216,0.004368925113492989,0.009830081505359226,0.024029088124211444,0.006007272031052861,0.01802181609315858,1.6923076923076923,1.375,1.8333333333333333
864691135886130288,260697,230.16521728,E,23P,L3b,5767.64453125,2606.409912109375,273.5239477157593,244.0273800583857,1698,651,8404.726,5866.679,14271224.0,3819208.0,7627.2686,5421.6304,74,97,38,69,11,48,63,49,11,27,4120.919,304948.0,2686.0928,5328.1235,516828.0,3791.2612,5833.091,64164.0,3769.4524,6226.58349609375,298876.0,4633.140625,3821.96826171875,240784.0,2322.229736328125,4448.0,217952.0,2420.88818359375,170656,145840,22281,629.1832355009059,243.9637086058936,891.2400000000002,0.14864864864864866,0.1746031746031746,0.2104096436113698,0.2664795002990232,0.2894736842105263,0.043580683156654886,0.651470818964851,1.9473684210526316,0.1128710336555556,0.01457944117824755,0.004220364551597975,0.010359076626649574,0.028391543347113652,0.004220364551597975,0.024171178795515676,1.9473684210526316,1.0,2.3333333333333335
864691135886208112,294534,286.59924992000003,E,23P,L3b,4282.2275390625,2504.311279296875,249.0042023360729,205.9653724089273,2293,374,7978.161,6128.834,18293924.0,2292184.0,7276.006,4966.465,106,75,50,42,18,24,88,51,17,33,4938.981,523532.0,4401.8037,6543.6265,490772.0,5152.9883,6112.8887,110032.0,6601.9883,9235.0,221640.0,7560.85595703125,4698.86376953125,413500.0,3752.8955078125,5277.09814453125,269132.0,2671.002197265625,180160,137664,21669,669.9049145543812,214.69746991579615,866.7600000000002,0.16981132075471697,0.20454545454545456,0.21017244409128763,0.26609915356711006,0.34,0.04622764936764064,0.9156210008540935,2.12,0.0873377223859242,0.019965569142043033,0.006788293508294631,0.013177275633748401,0.042327006581131234,0.007187604891135492,0.03513940168999574,2.12,1.0588235294117647,2.6666666666666665
864691135455400554,258284,345.17434368,E,23P,L3a,4917.3125,3832.56396484375,206.8469497859478,181.10101411519807,3686,314,7825.235,6387.414,28843816.0,2005648.0,7712.602,6584.3066,205,64,70,46,43,22,162,42,40,30,4323.1025,886236.0,4525.428,6647.3125,425428.0,6507.369,8994.697,386772.0,7218.834,8624.181640625,189732.0,9575.8623046875,3083.111083984375,499464.0,2180.14306640625,5611.8095703125,235696.0,3657.30224609375,170192,133552,21447,631.6181772087806,194.83698574674847,857.8800000000002,0.2097560975609756,0.2654320987654321,0.43642099846993354,0.7743741290663592,0.5714285714285714,0.05561584373304395,0.9617582469103747,2.9285714285714284,0.06385601891276993,0.018264535345557848,0.01043687734031877,0.007827658005239078,0.0534889963691337,0.01121964314084268,0.04226935322829102,2.9285714285714284,1.075,5.4
864691135892048777,255215,337.93327104,E,23P,L2a,9855.2314453125,5295.7109375,261.3780378252268,107.24270881925024,5709,528,8348.51,6863.0454,47661640.0,3623688.0,8983.652,8010.0815,144,65,68,48,46,42,98,23,37,31,5857.8887,843536.0,6606.293,8769.107,569992.0,10872.353,10832.608,498300.0,8424.191,11193.904296875,470144.0,12785.037109375,3522.81640625,345236.0,3707.92529296875,4341.21728515625,99848.0,2288.30322265625,174880,109920,22317,658.5374782378476,102.30303781353601,892.6800000000003,0.3194444444444444,0.46938775510204084,0.5907276038011419,1.4433604838429364,0.5441176470588235,0.025223331581713086,1.0780422246186847,2.1176470588235294,0.05357560630918878,0.012840580009471109,0.006986786181623985,0.005853793827847123,0.0271918164906447,0.008686274712289279,0.01850554177835542,2.1176470588235294,1.2432432432432432,3.161290322580645
864691135448303762,256436,344.0836608,E,23P,L2c,5550.28662109375,4164.04638671875,174.14750409126282,115.81502673306991,4230,375,8272.137,6743.584,34991140.0,2528844.0,9788.199,6802.1484,127,97,62,59,39,37,88,60,37,25,5018.992,637412.0,6147.4014,6572.4126,637524.0,6977.5854,9270.975,361568.0,8888.357,6966.05419921875,257744.0,10434.8134765625,3134.5908203125,275844.0,2821.802734375,6329.66650390625,379780.0,3377.828125,171360,117872,20664,641.7388070233984,132.76284591255123,826.5600000000003,0.30708661417322836,0.4431818181818182,0.5672437920842407,1.3107698554255303,0.5967741935483871,0.030023640661938536,1.015838827706533,2.0483870967741935,0.06756407832612107,0.014889363432105214,0.008885587854643434,0.006003775577461779,0.03049917993350584,0.009365889900840377,0.021133290032665463,2.0483870967741935,1.054054054054054,3.52
864691135892202633,256469,265.10573568,E,23P,L2b,5777.22216796875,3181.666015625,187.57943184673783,100.61923030790024,2285,252,5819.228,6354.4287,13296936.0,1601316.0,5382.628,6060.949,52,32,40,28,34,20,18,12,30,10,4267.923,221932.0,3911.507,6517.375,208556.0,6392.7207,5332.0,181288.0,4259.014,7870.2001953125,157404.0,7325.158203125,2258.0,40644.0,1938.615234375,4262.66650390625,51152.0,3378.536865234375,179216,110976,20613,675.4473332241847,108.02259342049098,824.5200000000002,0.6538461538461539,1.8888888888888888,0.8168628228466377,4.460387757110521,0.75,0.022757111597374178,0.7181772030057464,1.3,0.04361957921528267,0.012572029811916786,0.00942902235893759,0.0031430074529791964,0.016343638755491822,0.010686225340129269,0.005657413415362554,1.3,1.1333333333333333,1.8
864691135892214409,291299,288.157696,E,23P,L2a,5980.8955078125,4248.626953125,114.68010771274568,74.91886995620276,4445,380,6445.3247,6350.663,28649468.0,2413252.0,6644.343,7235.254,62,56,34,47,19,39,43,17,16,18,3412.5806,211580.0,3939.1924,7455.357,417500.0,9579.537,5063.579,96208.0,6176.681,8381.9482421875,326896.0,11210.634765625,2683.06982421875,115372.0,1944.0919189453125,5329.64697265625,90604.0,2735.664306640625,181488,102960,22492,687.2953123759034,76.87267801096792,899.6800000000003,0.3064516129032258,0.4418604651162791,0.4547121656111164,0.8338938390597372,0.47058823529411764,0.013948256467941508,1.0462203551974742,1.8235294117647058,0.06353563601029777,0.008002585394086418,0.003765922538393608,0.004236662855692809,0.01459294983627523,0.0044720330143424095,0.010120916821932821,1.8235294117647058,1.1875,2.388888888888889
864691135448130450,258229,305.963008,E,23P,L3b,5805.3740234375,3013.643310546875,209.2954248785973,185.70472695690248,3149,508,8696.609,8769.213,27385624.0,4454760.0,8399.831,8469.368,129,102,60,79,29,60,100,42,23,37,4710.6045,607668.0,5123.0625,7993.8823,815376.0,8186.443,8315.586,241152.0,8896.733,10055.3330078125,603320.0,9595.1513671875,3665.159912109375,366516.0,2457.8935546875,5048.9521484375,212056.0,4060.79052734375,175888,135536,20806,653.6238092356575,204.72854331356723,832.2400000000002,0.2248062015503876,0.29,0.3968482789944509,0.657957633500311,0.38333333333333336,0.04096538583677358,1.0449146350463627,2.15,0.08750512851525132,0.019909456367984045,0.007631958274393884,0.012277498093590161,0.042805331191165696,0.009622903911192289,0.033182427279973406,2.15,1.2608695652173914,2.7027027027027026
864691135919756208,256602,193.7768448,E,23P,L2c,4307.287109375,3155.97998046875,239.325778067112,154.60534540178045,2353,380,7401.9326,6025.4736,17416748.0,2289680.0,6967.2334,5328.3374,109,69,52,49,22,24,87,45,21,31,2752.8806,300064.0,2193.1824,6283.0146,433528.0,5077.724,4527.8184,99612.0,3373.047,7378.33349609375,177080.0,6625.54833984375,2304.0458984375,200452.0,1466.7039794921875,5698.84423828125,256448.0,3891.15087890625,168512,126896,22073,627.2441833325178,167.72861151348957,882.9200000000003,0.2018348623853211,0.25287356321839083,0.3319691799082862,0.49693692255502564,0.40384615384615385,0.046323841903952404,0.7455687344539221,2.0961538461538463,0.0882225842741974,0.016476657115003804,0.006654034604136152,0.009822622510867653,0.03453760818337336,0.006970893394809302,0.02756671478856406,2.0961538461538463,1.0476190476190477,2.806451612903226
